date,open,high,close,low,volume
2009-10-30,1.6912,2.49214,1.79642,1.47625,23975079
2009-11-02,1.61678,1.86322,1.67839,1.61678,10095677
2009-11-03,1.70677,1.83449,1.75488,1.64793,7044934
2009-11-04,1.74035,1.8293,1.7895,1.731,4652062
2009-11-05,1.7805,1.88607,1.81719,1.74796,5298379
2009-11-06,1.79988,1.83311,1.73239,1.7085,4175109
2009-11-09,1.72408,1.74519,1.67285,1.66074,3145749
2009-11-10,1.68047,1.68877,1.61505,1.61159,3149786
2009-11-11,1.5967,1.63131,1.61989,1.5614,2602840
2009-11-12,1.61643,1.67804,1.67181,1.60709,2673148
2009-11-13,1.6732,1.79296,1.74035,1.66177,4210148
2009-11-16,1.73758,1.74035,1.72027,1.69189,2996244
2009-11-17,1.71335,1.75488,1.70643,1.69639,1929430
2009-11-18,1.71058,1.76319,1.74935,1.69777,3066157
2009-11-19,1.75177,1.92103,1.83622,1.73758,5842210
2009-11-20,1.82376,1.87499,1.82065,1.79677,2845770
2009-11-23,1.81719,1.87188,1.86391,1.81026,2511877
2009-11-24,1.88641,1.90234,1.77219,1.69881,4057508
2009-11-25,1.75661,1.86841,1.85457,1.74173,3564195
2009-11-26,1.85353,1.89334,1.89334,1.80403,4178462
2009-11-27,1.93141,2.07125,1.96948,1.93141,5992965
2009-11-30,1.96602,1.96602,1.94872,1.86911,3168133
2009-12-01,1.93695,1.94837,1.92345,1.88641,2543968
2009-12-02,1.93487,2.02763,1.97779,1.93314,3949069
2009-12-03,1.97779,2.06363,2.06294,1.96256,3906645
2009-12-04,1.99025,2.01414,1.87707,1.85665,4202754
2009-12-07,1.86703,1.93695,1.91307,1.85907,1544855
2009-12-08,1.9051,1.9726,1.93833,1.88157,1884322
2009-12-09,1.92103,2.00687,1.94802,1.90372,2556389
2009-12-10,1.93556,1.96568,1.88953,1.88295,2040947
2009-12-11,1.90199,1.90234,1.81026,1.77911,2395957
2009-12-14,1.81719,1.81892,1.80161,1.73169,1553118
2009-12-15,1.8165,1.84765,1.81338,1.7933,1164547
2009-12-16,1.80023,1.803,1.75835,1.75142,1575530
2009-12-17,1.76146,1.77219,1.67077,1.66662,1486636
2009-12-18,1.66835,1.72581,1.69604,1.61124,1947586
2009-12-21,1.67908,1.71612,1.70123,1.67354,916997
2009-12-22,1.71577,1.71577,1.61539,1.61539,1034290
2009-12-23,1.60985,1.668,1.64758,1.60985,917703
2009-12-24,1.62647,1.68739,1.68635,1.61297,1186890
2009-12-25,1.67493,1.67527,1.63028,1.62335,1060278
2009-12-28,1.63374,1.66835,1.64931,1.63028,755537
2009-12-29,1.65451,1.66835,1.63166,1.60466,856216
2009-12-30,1.62682,1.69466,1.66593,1.62682,1152064
2009-12-31,1.67735,1.69812,1.68912,1.65451,878657
2010-01-04,1.695,1.70262,1.68808,1.68047,740314
2010-01-05,1.69431,1.78188,1.76527,1.67147,1850184
2010-01-06,1.76146,1.76146,1.72166,1.71958,971079
2010-01-07,1.72892,1.72892,1.6815,1.67562,928957
2010-01-08,1.66939,1.67493,1.63478,1.61678,1136816
2010-01-11,1.62647,1.668,1.64066,1.60951,921556
2010-01-12,1.64066,1.68012,1.67666,1.63028,797391
2010-01-13,1.65762,1.73412,1.70816,1.62889,1397010
2010-01-14,1.73031,1.81719,1.78327,1.71023,1950890
2010-01-15,1.7843,1.80507,1.76734,1.75073,919192
2010-01-18,1.77565,1.78984,1.77219,1.75454,520082
2010-01-19,1.76561,1.77357,1.73342,1.71681,874495
2010-01-20,1.73065,1.74104,1.63028,1.6237,1123272
2010-01-21,1.63374,1.67112,1.64862,1.63374,529544
2010-01-22,1.63685,1.63685,1.55067,1.52678,1528341
2010-01-25,1.53994,1.54374,1.50602,1.48871,796699
2010-01-26,1.52644,1.55067,1.50913,1.49875,570700
2010-01-27,1.51259,1.54028,1.51259,1.50913,512792
2010-01-28,1.51536,1.54374,1.52298,1.4624,1092296
2010-01-29,1.51328,1.55724,1.52678,1.49459,991806
2010-02-01,1.41914,1.51778,1.41221,1.38072,4700235
2010-02-02,1.41914,1.43264,1.41291,1.40218,1210340
2010-02-03,1.41498,1.42952,1.39664,1.35026,1297607
2010-02-04,1.40529,1.43506,1.4226,1.40529,995702
2010-02-05,1.38625,1.44233,1.41914,1.38522,808132
2010-02-08,1.41394,1.49321,1.47798,1.41394,1623240
2010-02-09,1.47106,1.49667,1.48317,1.46448,472136
2010-02-10,1.49805,1.55205,1.54374,1.48871,1126056
2010-02-11,1.5434,1.57316,1.54444,1.52505,839876
2010-02-12,1.5479,1.58805,1.5839,1.54374,688817
2010-02-22,1.57316,1.60086,1.57247,1.55863,631008
2010-02-23,1.55863,1.58459,1.5749,1.54894,620402
2010-02-24,1.59566,1.65347,1.64724,1.59566,1328743
2010-02-25,1.66558,1.69604,1.65589,1.64758,1488689
2010-02-26,1.64758,1.7265,1.6995,1.64447,1677641
2010-03-01,1.6995,1.78257,1.76181,1.6995,1948301
2010-03-02,1.76181,1.79227,1.74104,1.72615,1387809
2010-03-03,1.73481,1.75211,1.70573,1.68912,1356079
2010-03-04,1.70573,1.79296,1.74415,1.69708,2009270
2010-03-05,1.749,1.86911,1.8518,1.7445,2330128
2010-03-08,1.85526,1.88849,1.87395,1.82446,1713200
2010-03-09,1.87949,1.87949,1.85803,1.82826,1167193
2010-03-10,1.86322,1.9591,1.94837,1.85284,2358595
2010-03-11,1.94699,1.96429,1.94872,1.89334,1852220
2010-03-15,2.00064,2.01794,1.96706,1.93937,3250682
2010-03-16,1.97122,1.97295,1.91099,1.90476,1621286
2010-03-17,1.92033,2.0664,2.04148,1.91757,2801812
2010-03-18,2.04217,2.13424,2.06536,2.03213,2642148
2010-03-19,2.06156,2.10759,2.07644,2.04217,1211922
2010-03-22,2.07782,2.09651,2.09063,2.05325,1235021
2010-03-23,2.08994,2.23185,2.21005,2.07021,2393232
2010-03-24,2.21005,2.27373,2.23808,2.18755,2116251
2010-03-25,2.21593,2.44022,2.3883,2.21455,2881276
2010-03-26,2.35023,2.52641,2.47034,2.26716,3379556
2010-03-29,2.47034,2.54718,2.4198,2.33673,3781885
2010-03-30,2.40111,2.49214,2.41946,2.38519,2102166
2010-03-31,2.40734,2.47414,2.44368,2.39453,2088911
2010-04-01,2.43434,2.50841,2.38415,2.37446,3141391
2010-04-02,2.34954,2.371,2.31492,2.29762,2931319
2010-04-06,2.31181,2.43468,2.43468,2.30177,2474055
2010-04-07,2.44541,2.48522,2.46099,2.39592,2012027
2010-04-09,2.40873,2.65655,2.62713,2.38934,3200437
2010-04-12,2.69636,2.72717,2.66555,2.62817,3275805
2010-04-13,2.64825,2.64825,2.39938,2.39903,4364932
2010-04-14,2.40215,2.48522,2.4558,2.36061,2148324
2010-04-15,2.4603,2.48834,2.32012,2.2457,2656186
2010-04-16,2.28481,2.55202,2.54752,2.28446,4014811
2010-04-19,2.53187,2.60004,2.43449,2.42962,8120215
2010-04-20,2.43449,2.52492,2.48318,2.2293,6623990
2010-04-21,2.44562,2.71829,2.65847,2.43449,6473300
2010-04-22,2.66055,2.78158,2.6849,2.60282,7940638
2010-04-23,2.63621,2.76141,2.71133,2.63273,4990243
2010-04-26,2.71063,2.7468,2.58195,2.57361,5040502
2010-04-27,2.56665,2.6383,2.61604,2.50753,4412523
2010-04-28,2.58752,2.65429,2.43449,2.43449,5087265
2010-04-29,2.44701,2.4957,2.3858,2.37746,3390927
2010-04-30,2.36633,2.4484,2.44562,2.27312,3710857
2010-05-04,2.37885,2.60143,2.58265,2.36494,5200148
2010-05-05,2.54926,2.64873,2.63621,2.54578,4766484
2010-05-06,2.64664,2.64664,2.54092,2.54092,3792643
2010-05-07,2.44145,2.53535,2.42754,2.42058,4070125
2010-05-10,2.40667,2.45119,2.27451,2.19383,4486287
2010-05-11,2.31555,2.35103,2.16322,2.14305,4020716
2010-05-12,2.09714,2.19104,2.15627,2.07141,3860864
2010-05-13,2.17018,2.19104,2.17435,2.04497,3846367
2010-05-14,2.14096,2.25921,2.18339,2.0728,3694546
2010-05-17,2.14861,2.23278,2.1354,2.11523,3181371
2010-05-18,2.15279,2.15974,2.13262,2.03593,3765849
2010-05-19,2.10062,2.24669,2.18896,2.0881,4082754
2010-05-20,2.16461,2.27869,2.20426,2.16461,4003818
2010-05-21,2.13401,2.31416,2.30442,2.11384,4828155
2010-05-24,2.3392,2.44145,2.44145,2.33155,4936647
2010-05-25,2.42058,2.52979,2.44771,2.40111,5243112
2010-05-26,2.43449,2.50405,2.43449,2.41363,3084460
2010-05-27,2.43449,2.66612,2.63621,2.4171,6551652
2010-05-28,2.64316,2.71829,2.67864,2.59865,6149687
2010-05-31,2.65847,2.75098,2.60839,2.60839,5374025
2010-06-01,2.57361,2.61256,2.53883,2.4491,5307884
2010-06-02,2.51866,2.73011,2.71481,2.47692,5340774
2010-06-03,2.73359,2.97217,2.81636,2.71481,9303230
2010-06-04,2.79132,3.02712,3.00903,2.78019,7361037
2010-06-07,2.9666,3.11406,3.05355,2.92835,7874502
2010-06-08,3.05355,3.06746,2.97356,2.94435,5279898
2010-06-09,2.98817,3.19127,3.13493,2.98817,7984378
2010-06-10,3.11476,3.36308,3.35125,3.09668,7657773
2010-06-11,3.36795,3.44794,3.40412,3.29004,6612029
2010-06-17,3.40134,3.44237,3.34569,3.26083,6062969
2010-06-18,3.29004,3.31091,3.01112,3.01112,8286861
2010-06-21,2.91444,3.23301,3.15789,2.80801,8227231
2010-06-22,3.11615,3.2177,3.01808,3.00834,5886771
